history_id,user_id,song_id,listen_timestamp,listen_duration_ms,completed
1,181,1050,2024-10-31 14:01:46,239879,1
2,458,376,2024-10-29 01:16:26,85596,0
3,539,2565,2024-11-02 15:02:30,35970,0
4,331,660,2024-10-26 09:03:20,109379,0
5,125,3380,2024-11-04 11:50:42,34738,0
6,296,1160,2024-11-08 03:05:09,22531,0
7,225,2992,2024-11-04 12:28:50,153688,1
8,201,1985,2024-10-22 03:41:09,35413,0
9,191,317,2024-11-07 14:06:20,28722,0
10,450,3788,2024-10-25 21:28:07,70261,0
11,520,2516,2024-11-07 01:10:42,66860,0
12,417,1231,2024-10-21 04:30:37,65125,0
13,83,777,2024-11-11 07:02:52,139215,0
14,348,2497,2024-10-20 03:55:51,15472,0
15,79,622,2024-11-07 15:25:24,264408,0
16,452,3389,2024-11-11 08:02:17,255589,0
17,3,1117,2024-10-20 14:50:53,83195,0
18,439,2297,2024-10-16 02:52:20,147351,0
19,514,52,2024-11-14 11:05:45,163630,0
20,457,1230,2024-10-22 11:50:16,12795,0
21,92,2286,2024-11-13 18:44:59,108833,0
22,33,3567,2024-10-29 05:45:52,263390,0
23,478,3033,2024-11-02 20:07:33,30174,0
24,78,2624,2024-10-20 12:01:51,125447,0
25,333,2538,2024-11-14 01:34:54,16607,0
26,540,2512,2024-11-13 13:12:11,77596,0
27,528,2100,2024-10-21 12:05:51,128421,0
28,289,2715,2024-11-02 12:36:06,120425,0
29,21,1421,2024-11-11 12:53:44,3846,0
30,493,494,2024-10-18 09:01:06,69694,0
31,362,3027,2024-10-16 16:11:26,11670,0
32,195,1552,2024-11-11 10:30:12,156433,0
33,29,294,2024-11-03 03:11:30,21265,0
34,356,3388,2024-10-25 13:35:38,19124,0
35,59,2737,2024-11-07 00:14:33,34932,0
36,365,2563,2024-10-24 01:55:02,338122,0
37,184,3971,2024-10-27 19:28:00,58394,0
38,243,3655,2024-10-20 16:19:42,419457,0
39,557,1581,2024-11-09 18:16:55,75617,0
40,461,3357,2024-10-21 09:03:17,12413,0
41,429,3126,2024-11-12 11:06:58,22138,0
42,104,2615,2024-10-19 17:25:17,25806,0
43,285,2475,2024-11-02 07:54:06,304579,1
44,125,1840,2024-11-07 16:54:26,17938,0
45,102,2418,2024-10-17 10:38:48,79418,0
46,301,1749,2024-10-22 07:09:09,317907,0
47,52,3697,2024-11-08 21:26:29,415702,1
48,215,42,2024-11-11 15:59:55,137999,0
49,103,993,2024-10-15 22:47:12,3985,0
50,525,2379,2024-10-20 15:40:16,134323,0
51,386,1376,2024-10-27 07:39:55,24686,0
52,436,841,2024-10-26 02:53:06,249036,0
53,99,2371,2024-10-23 00:25:03,191839,0
54,260,1618,2024-10-22 10:42:02,7261,0
55,505,526,2024-11-06 09:21:12,137243,0
56,552,3302,2024-11-10 00:01:45,116392,0
57,140,2328,2024-11-07 07:07:29,148919,0
58,77,1199,2024-11-04 14:32:08,142575,0
59,75,1871,2024-11-02 10:45:49,167114,0
60,104,3778,2024-11-08 12:04:05,30290,0
61,539,741,2024-10-23 00:07:41,88752,0
62,367,3746,2024-10-31 00:14:06,188861,0
63,529,1101,2024-10-28 00:32:20,216343,1
64,526,432,2024-10-23 13:23:35,78066,0
65,505,1787,2024-11-13 11:58:25,76400,0
66,455,2787,2024-10-30 02:50:59,268366,1
67,209,1103,2024-10-27 00:26:45,264428,1
68,6,2468,2024-10-19 23:47:35,59890,0
69,270,3442,2024-11-12 02:41:10,556095,1
70,433,2501,2024-10-21 01:43:45,155478,0
71,49,3197,2024-10-21 02:26:29,127759,0
72,533,3926,2024-10-29 16:52:00,743556,0
73,36,1309,2024-11-02 22:39:51,120887,0
74,30,3918,2024-11-07 01:44:43,156694,0
75,447,2202,2024-10-19 23:07:41,94622,0
76,276,2662,2024-10-31 00:33:04,9493,0
77,472,1057,2024-10-20 22:30:30,5335,0
78,522,26,2024-10-25 01:08:18,236066,1
79,328,808,2024-10-22 12:14:06,93845,0
80,117,884,2024-10-31 09:39:37,125160,0
81,83,3042,2024-10-22 09:44:34,172,0
82,473,3517,2024-11-14 09:06:36,207487,0
83,375,3472,2024-11-02 19:07:13,139528,0
84,63,1760,2024-10-28 08:09:16,116805,0
85,189,2279,2024-11-09 12:10:21,96879,0
86,461,3815,2024-10-21 17:49:08,134675,0
87,106,3199,2024-10-18 23:17:29,65730,0
88,58,502,2024-10-24 20:25:39,55617,0
89,34,2778,2024-11-02 07:00:45,243174,0
90,320,3632,2024-11-03 11:55:20,470947,1
91,137,2918,2024-11-05 20:54:40,178825,0
92,114,3599,2024-10-21 11:39:34,34480,0
93,200,377,2024-11-04 03:58:26,24376,0
94,354,3839,2024-11-07 13:21:13,85041,0
95,73,3768,2024-10-28 21:25:57,120079,0
96,380,213,2024-11-06 07:41:42,48830,0
97,444,887,2024-11-14 07:53:13,147674,0
98,277,2109,2024-11-14 17:43:10,230027,0
99,300,14,2024-11-05 00:14:41,27455,0
100,483,2006,2024-11-01 04:35:24,198287,0
101,149,1383,2024-11-02 10:58:22,112131,0
102,144,2839,2024-11-07 05:52:21,179384,0
103,8,3571,2024-10-25 03:41:49,221660,0
104,276,4,2024-10-27 16:54:03,14308,0
105,165,1056,2024-11-13 08:36:32,6650,0
106,80,1011,2024-10-24 12:38:27,137068,0
107,514,2371,2024-11-14 14:32:35,100045,0
108,132,1861,2024-10-23 12:02:11,168722,0
109,529,710,2024-10-29 07:13:37,217088,1
110,434,3018,2024-10-18 04:53:24,234514,1
111,157,3241,2024-10-15 22:36:59,25372,0
112,300,1931,2024-10-28 19:02:34,81199,0
113,462,764,2024-10-24 19:57:48,133671,0
114,453,3893,2024-11-12 10:30:08,30132,0
115,176,2404,2024-11-06 14:38:25,27668,0
116,144,3879,2024-11-04 02:40:07,328903,0
117,482,2776,2024-11-02 07:45:19,43848,0
118,430,554,2024-10-26 07:12:40,40544,0
119,114,3458,2024-11-11 10:05:52,24025,0
120,470,45,2024-11-09 20:20:46,10253,0
121,14,3013,2024-10-21 10:32:10,115400,0
122,53,3492,2024-10-22 16:27:57,123493,0
123,357,1111,2024-10-28 19:33:20,45232,0
124,31,3161,2024-10-18 15:12:53,192532,0
125,235,1933,2024-11-06 04:28:15,233480,0
126,359,161,2024-11-14 09:24:58,181298,0
127,188,3402,2024-11-13 16:04:40,141435,0
128,115,3127,2024-11-01 11:45:52,188995,0
129,178,3482,2024-10-16 05:18:57,48878,0
130,25,2547,2024-11-12 14:38:52,101105,0
131,249,121,2024-10-16 04:00:42,148498,0
132,190,1754,2024-11-06 12:36:05,53232,0
133,504,2947,2024-10-25 16:45:16,47354,0
134,470,1386,2024-11-09 16:00:02,97074,0
135,346,3747,2024-10-26 20:16:57,231455,0
136,160,3062,2024-11-14 12:31:23,33661,0
137,302,974,2024-11-02 05:05:25,81045,0
138,327,964,2024-11-01 18:49:38,2929,0
139,11,1486,2024-10-21 23:03:39,63425,0
140,452,1374,2024-10-29 16:40:06,60471,0
141,110,576,2024-10-29 03:45:02,205581,0
142,501,3308,2024-10-30 19:39:24,56272,0
143,551,284,2024-10-25 18:23:52,99206,0
144,370,2868,2024-10-20 04:49:42,17070,0
145,325,328,2024-11-14 04:58:35,38631,0
146,81,2440,2024-11-04 06:30:45,32953,0
147,167,3495,2024-11-06 16:07:38,108192,0
148,418,2420,2024-11-12 03:04:00,55188,0
149,63,3034,2024-10-20 23:20:06,139691,1
150,217,3089,2024-10-31 05:06:30,151197,0
151,201,1673,2024-10-25 12:54:58,27705,0
152,550,2202,2024-10-29 07:20:55,154573,0
153,27,1557,2024-11-06 10:10:53,108351,0
154,201,3552,2024-10-24 05:29:36,87250,0
155,314,3494,2024-10-30 13:09:44,110616,0
156,130,3469,2024-11-04 14:50:59,51289,0
157,360,2776,2024-10-27 21:43:19,63409,0
158,345,2721,2024-11-03 23:01:17,218442,0
159,52,1359,2024-10-23 18:21:55,159933,0
160,553,124,2024-10-29 00:23:45,153083,0
161,409,135,2024-10-21 17:32:29,83427,0
162,107,3598,2024-11-04 21:19:08,63882,0
163,20,1357,2024-11-14 01:26:38,176816,0
164,90,3135,2024-11-04 18:26:51,34732,0
165,370,10,2024-11-05 15:25:58,125637,0
166,359,1882,2024-10-23 02:23:00,94722,0
167,326,2426,2024-10-29 00:03:00,142052,0
168,96,3974,2024-10-29 09:40:43,30733,0
169,463,177,2024-11-03 09:07:57,116234,0
170,107,1774,2024-11-06 01:54:50,290759,0
171,22,3981,2024-10-28 17:05:42,50860,0
172,490,2100,2024-10-24 11:24:08,156974,0
173,478,2699,2024-10-22 10:52:45,3674,0
174,194,2795,2024-10-25 09:52:06,76517,0
175,338,1075,2024-11-07 18:21:27,53550,0
176,112,1264,2024-11-06 03:53:09,110464,0
177,65,1220,2024-10-16 17:14:16,65978,0
178,308,3309,2024-10-26 03:17:45,20849,0
179,34,877,2024-10-23 03:27:57,76197,0
180,181,1467,2024-10-26 11:30:26,154882,0
181,368,1573,2024-11-07 15:56:14,152211,0
182,526,934,2024-10-31 14:40:40,66117,0
183,248,502,2024-10-23 18:56:16,32665,0
184,328,924,2024-10-17 18:20:26,117574,0
185,154,802,2024-10-18 00:57:32,111456,0
186,403,483,2024-10-30 14:33:43,236772,0
187,431,2105,2024-10-22 10:33:24,28380,0
188,230,3288,2024-10-30 01:38:11,5118,0
189,119,2022,2024-10-16 11:21:18,108645,0
190,202,1149,2024-11-11 23:19:25,97093,0
191,74,760,2024-11-10 22:44:00,3995,0
192,512,1910,2024-11-01 01:51:22,167940,0
193,272,1963,2024-10-28 21:34:48,65772,0
194,42,3475,2024-11-10 23:13:42,266652,0
195,383,250,2024-10-23 14:19:34,1219,0
196,242,120,2024-10-23 19:52:49,196008,0
197,27,3842,2024-11-09 20:40:32,26304,0
